doi,url,label_level_1,label_level_2,label_level_3,title,abstract,journal,full_doc_link,is_open_access,isBiomimicry,ask_label_level_1,ask_label_level_2,ask_label_level_3
,http://onlinelibrary.wiley.com/doi/10.1111/j.1748-7692.1998.tb00716.x/abstract,"['manipulate solids, liquids, gases, or energy']",['distribute or expel resources'],['distribute or expel solids'],,,,,,Y,[],['distribute'],"['distribute solids', 'capture, absorb, or filter solids']"
,http://onlinelibrary.wiley.com/doi/10.1111/j.1748-7692.1998.tb00717.x/full,"['manipulate solids, liquids, gases, or energy']",['distribute or expel resources'],['distribute or expel solids'],,,,,,Y,[],['distribute'],"['distribute solids', 'capture, absorb, or filter solids']"
,http://dx.doi.org/10.1126/science.1177894,"['change size or color', 'sense, send, or process information']","['change size/shape', 'process signals']",['respond to signals'],,,,,,Y,"['modify', 'get, store, or distribute resources']","['modify physical state', 'capture, absorb, or filter']","['respond to signals', 'navigate over land', 'capture, absorb, or filter organisms', 'modify size/shape/mass/volume', 'modify position']"
,http://www.ncbi.nlm.nih.gov/pubmed/11763236,"['change size or color', 'sense, send, or process information']","['change size/shape', 'process signals']",['respond to signals'],,,,,,Y,"['modify', 'get, store, or distribute resources']","['modify physical state', 'capture, absorb, or filter']","['respond to signals', 'navigate over land', 'capture, absorb, or filter organisms', 'modify size/shape/mass/volume', 'modify position']"
,http://www.amazon.com/Biology-Freshwater-Wetlands-Habitats/dp/0199608954%3FSubscriptionId%3DAKIAIMGIS4T74NLNJI3Q%26tag%3Dasknature03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0199608954,"['manipulate solids, liquids, gases, or energy']",['store resources'],['store gases'],,,,,,Y,[],[],"['adapt phenotype', 'capture, absorb, or filter gases', 'store gases']"
,http://dx.doi.org/10.1242/jeb.036871,[],[],[],,,,,,Y,[],[],"['capture, absorb, or filter liquids']"
,http://dx.doi.org/10.1210/en.2003-0418,[],[],[],,,,,,Y,[],[],"['capture, absorb, or filter liquids']"
,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2006-7-2-206,['sustain ecological community'],['individual benefit'],['maintain homeostasis/equillibrium'],,,,,,Y,[],[],"['capture, absorb, or filter liquids', 'capture, absorb, or filter chemical entities', 'maintain homeostasis']"
,https://research.chalmers.se/en/publication/508830,['sustain ecological community'],['individual benefit'],['maintain homeostasis/equillibrium'],,,,,,Y,[],[],"['capture, absorb, or filter liquids', 'capture, absorb, or filter chemical entities', 'maintain homeostasis']"
,https://www.nature.com/articles/s41586-020-2345-2,"['manipulate solids, liquids, gases, or energy', 'physically assemble/disassemble']","['physically assemble structure', 'store resources', 'distribute or expel resources']","['store solids', 'distribute or expel solids']",,,,,,Y,[],"['physically assemble', 'distribute', 'store']","['physically assemble structure', 'distribute solids', 'capture, absorb, or filter solids', 'store solids', 'capture, absorb, or filter liquids']"
,https://advances.sciencemag.org/content/3/5/e1602374,"['manipulate solids, liquids, gases, or energy', 'physically assemble/disassemble']","['physically assemble structure', 'store resources', 'distribute or expel resources']","['store solids', 'distribute or expel solids']",,,,,,Y,[],"['physically assemble', 'distribute', 'store']","['physically assemble structure', 'distribute solids', 'capture, absorb, or filter solids', 'store solids', 'capture, absorb, or filter liquids']"
,http://dx.doi.org/10.1038/ncomms11092,"['manipulate solids, liquids, gases, or energy']",['distribute or expel resources'],['distribute or expel solids'],,,,,,Y,"['get, store, or distribute resources']","['distribute', 'capture, absorb, or filter']","['distribute solids', 'capture, absorb, or filter organisms', 'capture, absorb, or filter solids']"
,http://www.nature.com/nature/journal/v412/n6845/abs/412439a0.html,"['manipulate solids, liquids, gases, or energy']",['distribute or expel resources'],['distribute or expel solids'],,,,,,Y,"['get, store, or distribute resources']","['distribute', 'capture, absorb, or filter']","['distribute solids', 'capture, absorb, or filter organisms', 'capture, absorb, or filter solids']"
,https://theconversation.com/what-can-fish-mouths-teach-us-about-engineering-clog-free-filters-56877,"['manipulate solids, liquids, gases, or energy']",['distribute or expel resources'],['distribute or expel solids'],,,,,,Y,"['get, store, or distribute resources']","['distribute', 'capture, absorb, or filter']","['distribute solids', 'capture, absorb, or filter organisms', 'capture, absorb, or filter solids']"
